"raman_particle_id","ftir_particle_id","ftir_material","ftir_raman_distance","ldir_particle_id","ldir_material","ldir_raman_distance","raman_material","n_instrument_agreement","ftir_family","raman_family","ldir_family","material_consensus"
"634","MP_-1","Protein",12.1667864095418,"A147","Polyamide (naturally occurring)",8.39430818407268,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","Natural","No agreement"
"636","MP_-1","Protein",14.5979325022681,"A278","Polyamide (naturally occurring)",1.90546760573935,"Polyacrylamide/acrylate",0,"Protein","Acrylate","Natural","No agreement"
"641","MP_-1","Protein",19.972995064389,"A491","Polyamide (naturally occurring)",476.698037953849,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","Natural","No agreement"
"644","MP_-1","Protein",13.1343139083478,"A142","Polyamide (naturally occurring)",20.9463407630863,"Polycarbonate (PC)",0,"Protein","PC","Natural","No agreement"
"646","MP_-1","Protein",7.75528279787247,"A78","Polyamide (naturally occurring)",4.88166378978952,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","Natural","No agreement"
"65","MP_-1","Protein",17.9824220605394,"A325","Polyamide (naturally occurring)",1.83819948167811,"Polyethylene terephtalate (PET)",0,"Protein","PET","Natural","No agreement"
"651","MP_-1","Protein",14.7720152748748,"A357","Polyamide (naturally occurring)",654.88140802762,"Polyacrylamide/acrylate",0,"Protein","Acrylate","Natural","No agreement"
"652","MP_-1","Protein",9.16042141633577,"A256","Polyamide (naturally occurring)",6.32743682535814,"Polyacrylamide/acrylate",0,"Protein","Acrylate","Natural","No agreement"
"658","MP_-1","Protein",44.8776614997854,"A23","Cellulosic",120.102426319025,"Polyamide (PA)",0,"Protein","PA","Cellulose","No agreement"
"664","MP_12","PET",5.24749228364756,"A43","Polyamide (naturally occurring)",7.82366298824163,"Polyethylene terephtalate (PET)",1,"PET","PET","Natural","FTIR+Raman agree"
"665","MP_-1","Protein",24.2875679398613,"A193","Polyamide (naturally occurring)",18.6646635763195,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","Natural","No agreement"
"667","MP_-1","Protein",7.36461689790708,"A428","Polyamide (naturally occurring)",6.62893933905273,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","Natural","No agreement"
"67","MP_-1","Cellulose",11.827808992883,"A376","Polyamide (naturally occurring)",1.97228307643526,"Polyamide (PA)",0,"Cellulose","PA","Natural","No agreement"
"672","MP_-1","Protein",28.2359872703263,"A118","Polyamide (naturally occurring)",832.178028261051,"Polyphenylene sulphide (PPS)",0,"Protein","Unknown","Natural","No agreement"
"673","MP_-1","Protein",24.819351421977,"A300","Polyamide (naturally occurring)",4.96047991015041,"Polycarbonate (PC)",0,"Protein","PC","Natural","No agreement"
"684","MP_-1","Protein",16.305579062081,"A225","Polyamide (naturally occurring)",6.08374640492317,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","Natural","No agreement"
"689","MP_-1","Protein",15.64612571562,"A254","Polyamide (naturally occurring)",12.1780496521616,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","Natural","No agreement"
"692","MP_-1","Protein",13.4990087593641,"A472","Polyamide",5.28542516178745,"Polyvinyl Chloride (PVC)",0,"Protein","PVC","PA","No agreement"
"695","MP_-1","Protein",9.5490607234982,"A493","Polyamide (naturally occurring)",4.39457446950551,"Polyacrylamide/acrylate",0,"Protein","Acrylate","Natural","No agreement"
"697","MP_-1","Protein",20.6133056298333,"A151","Cellulosic",6.40912501890227,"Polyacrylamide/acrylate",0,"Protein","Acrylate","Cellulose","No agreement"
"70","MP_-1","Protein",15.5517986315818,"A302","Polyamide (naturally occurring)",12.8479290197661,"Polyacrylamide/acrylate",0,"Protein","Acrylate","Natural","No agreement"
"700","MP_-1","Cellulose",11.3458194110591,"A461","Cellulosic",8.87082985435411,"Polyamide (PA)",1,"Cellulose","PA","Cellulose","FTIR+LDIR agree"
"702","MP_-1","Protein",26.1506210604922,"A68","Polyamide (naturally occurring)",10.9312636827009,"Polyamide (PA)",0,"Protein","PA","Natural","No agreement"
"706","MP_-1","Protein",3.7429615104863,"A70","Polyethylene terephthalate",2.70953966312928,"Polyamide (PA)",0,"Protein","PA","PET","No agreement"
"707","MP_-1","Protein",16.9527427373409,"A441","Chitin",7.61998675670157,"Polyacrylamide/acrylate",0,"Protein","Acrylate","Chitin","No agreement"
"708","MP_-1","Protein",5.76000428398493,"A306","Polyamide (naturally occurring)",8.22300026648003,"Polycarbonate (PC)",0,"Protein","PC","Natural","No agreement"
"711","MP_-1","Protein",17.1721006540633,"A81","Polyamide (naturally occurring)",184.040866173466,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","Natural","No agreement"
"714","MP_16","PET",23.7841551422923,"A15","Polyethylene terephthalate",3.81843649823859,"Polyethylene terephtalate (PET)",3,"PET","PET","PET","Full agreement"
"715","MP_-1","Protein",20.0043811260802,"A176","Polyamide (naturally occurring)",8.93219613371043,"Polyacrylamide/acrylate",0,"Protein","Acrylate","Natural","No agreement"
"716","MP_-1","Protein",18.905098924604,"A393","Polycarbonate",9.62760943213778,"Polyacrylamide/acrylate",0,"Protein","Acrylate","PC","No agreement"
"718","MP_-1","Protein",10.9505226115463,"A139","Polyamide (naturally occurring)",10.5569072240113,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","Natural","No agreement"
"72","MP_-1","Protein",4.75035113720463,"A168","Polyamide (naturally occurring)",7.81274124752129,"Polytetrafluoroethylene (PTFE)",0,"Protein","PTFE","Natural","No agreement"
"728","MP_-1","Protein",20.5858215764516,"A105","Polyamide (naturally occurring)",2.6251988541009,"Polyacrylamide/acrylate",0,"Protein","Acrylate","Natural","No agreement"
"73","MP_-1","Protein",19.7680793564182,"A263","Polyamide (naturally occurring)",11.7575688136517,"Polyacrylamide/acrylate",0,"Protein","Acrylate","Natural","No agreement"
"731","MP_-1","Protein",6.00638100208498,"A94","Rubber",11.0281735616987,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","Rubber","No agreement"
"733","MP_-1","Protein",18.4330816247037,"A294","Polyamide (naturally occurring)",10.5162598026908,"Polyacrylamide/acrylate",0,"Protein","Acrylate","Natural","No agreement"
"734","MP_-1","Cellulose",49.1633762647195,"A181","Polyamide (naturally occurring)",3.95973183461683,"Cellulose Acetate Butyrate (CAB)",1,"Cellulose","Cellulose","Natural","FTIR+Raman agree"
"735","MP_-1","Protein",21.9557919113089,"A375","Polyamide (naturally occurring)",5.94566428942714,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","Natural","No agreement"
"738","MP_-1","Cellulose",4.69914334520127,"A55","Polyethylene terephthalate",9.94210092852297,"Polyethylene terephtalate (PET)",1,"Cellulose","PET","PET","LDIR+Raman agree"
"742","MP_-1","Protein",21.0212715943722,"A303","Polyamide (naturally occurring)",1.92410878473099,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","Natural","No agreement"
"751","MP_-1","Protein",14.3595326218982,"A498","Polycarbonate",6.68093571649538,"Polyacrylamide/acrylate",0,"Protein","Acrylate","PC","No agreement"
"752","MP_-1","Protein",15.058470154975,"A312","Polyamide (naturally occurring)",12.0823213285095,"Polyacrylamide/acrylate",0,"Protein","Acrylate","Natural","No agreement"
"755","MP_-1","Cellulose",21.8639188530041,"A426","Polyurethane",387.676115567204,"Polycarbonate (PC)",0,"Cellulose","PC","PU","No agreement"
"757","MP_-1","Cellulose",4.48716689950945,"A223","Polyamide (naturally occurring)",12.3489789928096,"Polyamide (PA)",0,"Cellulose","PA","Natural","No agreement"
"761","MP_-1","Protein",18.8826072704829,"A274","Polyamide (naturally occurring)",5.24155967778955,"Cellulose Acetate Butyrate (CAB)",0,"Protein","Cellulose","Natural","No agreement"
