"particle_id","centroid_y","centroid_x","tile_row","tile_col","local_y","local_x","area_px","max_intensity","mean_intensity","integrated_intensity","bbox_width","bbox_height","equivalent_diameter","aspect_ratio","x_um","y_um","feret_max_um","feret_min_um","area_um2"
111,627.82,831.67,1,1,27.82,231.67,51,101.34,64.18,3273.37,12,5,8.06,2.4,4504.87916666667,9599.30833333333,65,27.0833333333333,1496.35416666667
112,640.52,1685.78,1,2,40.52,485.78,27,84.33,61.63,1664.03,6,6,5.86,1,9131.30833333333,9530.51666666667,32.5,32.5,792.1875
113,646.1,951.77,1,1,46.1,351.77,31,146.24,86.28,2674.71,7,6,6.28,1.17,5155.42083333333,9500.29166666667,37.9166666666667,32.5,909.548611111111
114,648.48,560.09,1,0,48.48,560.09,33,178.62,98.19,3240.31,7,6,6.48,1.17,3033.82083333333,9487.4,37.9166666666667,32.5,968.229166666667
115,649.26,1135.03,1,1,49.26,535.03,31,108.98,76.62,2375.34,7,6,6.28,1.17,6148.07916666667,9483.175,37.9166666666667,32.5,909.548611111111
116,653.71,1301.47,1,2,53.71,101.47,93,152.25,94.68,8805.59,15,11,10.88,1.36,7049.62916666667,9459.07083333333,81.25,59.5833333333333,2728.64583333333
117,657.98,1601.45,1,2,57.98,401.45,64,133.8,81.87,5239.39,9,9,9.03,1,8674.52083333333,9435.94166666667,48.75,48.75,1877.77777777778
118,661.5,1405.88,1,2,61.5,205.88,34,102.17,70.34,2391.62,7,6,6.58,1.17,7615.18333333333,9416.875,37.9166666666667,32.5,997.569444444445
119,684.85,479.54,1,0,84.85,479.54,26,75.82,59.76,1553.88,6,6,5.75,1,2597.50833333333,9290.39583333333,32.5,32.5,762.847222222222
120,689.61,2086.8,1,3,89.61,286.8,70,113.67,77.66,5436.3,12,11,9.44,1.09,11303.5,9264.6125,65,59.5833333333333,2053.81944444444
121,690.1,709.29,1,1,90.1,109.29,21,141.56,86.76,1821.91,7,5,5.17,1.4,3841.9875,9261.95833333333,37.9166666666667,27.0833333333333,616.145833333333
122,690.9,403,1,0,90.9,403,31,136.48,87.83,2722.62,7,5,6.28,1.4,2182.91666666667,9257.625,37.9166666666667,27.0833333333333,909.548611111111
123,692.31,696.84,1,1,92.31,96.84,32,91.63,72.45,2318.36,7,6,6.38,1.17,3774.55,9249.9875,37.9166666666667,32.5,938.888888888889
124,694.24,368.1,1,0,94.24,368.1,29,115.06,66.15,1918.21,10,6,6.08,1.67,1993.875,9239.53333333333,54.1666666666667,32.5,850.868055555556
125,724.14,2144.71,1,3,124.14,344.71,1829,221.9,169.74,310455.31,57,61,48.26,1.07,11617.1791666667,9077.575,330.416666666667,308.75,53663.3680555556
126,697.63,322.5,1,0,97.63,322.5,30,116.54,71.18,2135.43,6,6,6.18,1,1746.875,9221.17083333333,32.5,32.5,880.208333333333
127,726.98,701.7,1,1,126.98,101.7,329,201.51,111.64,36729.14,31,55,20.47,1.77,3800.875,9062.19166666667,297.916666666667,167.916666666667,9652.95138888889
128,703,2112.36,1,3,103,312.36,22,92.8,66.09,1454.01,6,5,5.29,1.2,11441.95,9192.08333333333,32.5,27.0833333333333,645.486111111111
129,711.53,2051.12,1,3,111.53,251.12,34,103.44,74.13,2520.44,7,8,6.58,1.14,11110.2333333333,9145.87916666667,43.3333333333333,37.9166666666667,997.569444444445
130,711.88,1675.96,1,2,111.88,475.96,25,118.29,76.74,1918.52,6,5,5.64,1.2,9078.11666666667,9143.98333333333,32.5,27.0833333333333,733.506944444445
131,722.18,731.14,1,1,122.18,131.14,91,141.64,79.84,7265.88,11,21,10.76,1.91,3960.34166666667,9088.19166666667,113.75,59.5833333333333,2669.96527777778
132,721.67,238.45,1,0,121.67,238.45,69,132.23,76.28,5263.31,10,10,9.37,1,1291.60416666667,9090.95416666667,54.1666666666667,54.1666666666667,2024.47916666667
133,724.2,662.12,1,1,124.2,62.12,41,164.93,92.41,3788.79,7,11,7.23,1.57,3586.48333333333,9077.25,59.5833333333333,37.9166666666667,1202.95138888889
134,732.78,1920.7,1,3,132.78,120.7,23,115.54,77.11,1773.63,6,5,5.41,1.2,10403.7916666667,9030.775,32.5,27.0833333333333,674.826388888889
135,777.94,286.59,1,0,177.94,286.59,561,183.69,81.86,45921.56,41,98,26.73,2.39,1552.3625,8786.15833333333,530.833333333333,222.083333333333,16459.8958333333
136,742.28,823.71,1,1,142.28,223.71,125,193.84,114.12,14264.97,18,11,12.62,1.64,4461.7625,8979.31666666667,97.5,59.5833333333333,3667.53472222222
137,742.53,1295.89,1,2,142.53,95.89,38,135.38,93.19,3541.06,7,8,6.96,1.14,7019.40416666667,8977.9625,43.3333333333333,37.9166666666667,1114.93055555556
138,742.28,1979.43,1,3,142.28,179.43,79,138.32,83.21,6573.96,23,8,10.03,2.88,10721.9125,8979.31666666667,124.583333333333,43.3333333333333,2317.88194444444
139,744.9,236.41,1,0,144.9,236.41,29,139.61,88.71,2572.7,6,7,6.08,1.17,1280.55416666667,8965.125,37.9166666666667,32.5,850.868055555556
140,751.29,1455.71,1,2,151.29,255.71,31,132.93,92.03,2852.92,6,6,6.28,1,7885.09583333333,8930.5125,32.5,32.5,909.548611111111
141,890.97,304.29,1,0,290.97,304.29,2161,201.97,87.74,189604.68,138,214,52.45,1.55,1648.2375,8173.9125,1159.16666666667,747.5,63404.3402777778
142,756.97,716.06,1,1,156.97,116.06,32,91.85,71.51,2288.47,9,5,6.38,1.8,3878.65833333333,8899.74583333333,48.75,27.0833333333333,938.888888888889
