"ldir_row","ldir_x_aligned","ldir_y_aligned","raman_row","raman_x_norm","raman_y_norm","dx","dy","dist"
71,5810.7011304714,-4005.96242037046,701,5813.33452504163,-3997.06297286664,2.63339457022448,8.89944750381528,9.28089073503464
72,1818.21393450972,-991.406380769787,2,1818.39821163192,-993.541376120064,0.184277122195454,-2.13499535027688,2.14293331755063
73,3435.18480019274,-1914.6069513021,201,3431.52812119955,-1916.06798276604,-3.6566789931926,-1.46103146393898,3.93775496925288
74,2112.3804889404,2942.88776827773,466,2100.26539511865,3326.89125712052,-12.1150938217543,384.00348884279,384.194553503488
75,4812.59057335408,99.4789159933505,682,4813.30879462633,105.798046236526,0.71822127224732,6.31913024317578,6.35981515660065
76,3601.15074308444,1978.21408912212,281,3619.82228857969,1981.85090903619,18.6715454952518,3.63681991406975,19.0224359709432
77,2409.78921235722,-1033.78731636967,63,2416.57663361394,-1032.00390421296,6.7874212567167,1.78341215670389,7.01780921918008
78,943.159086906498,-3119.03425102796,72,938.352606163167,-3119.88770531527,-4.80648074333089,-0.853454287312161,4.88166378978952
79,2398.13416223636,960.781494080845,296,2406.24341711137,972.066029701846,8.10925487500435,11.2845356210013,13.8960699051721
80,3113.79349936051,937.371499312829,711,3103.73553103474,935.325704359386,-10.057968325772,-2.0457949534424,10.2639175675647
81,-3514.25704152198,-2171.82550447992,141,-3695.52092765532,-2203.67584208753,-181.263886133341,-31.8503376076142,184.040866173466
82,-1844.33425589863,2312.85823179439,593,-1762.63537409153,2272.90317385853,81.6988818071018,-39.9550579358634,90.9456647850186
83,-3656.0209676358,535.891498568281,221,-3636.96603414076,520.274841506216,19.0549334950369,-15.6166570620645,24.6367706547431
84,1899.40718069165,-4030.47357013521,176,1891.30479473337,-4029.2107575413,-8.1023859582815,1.26281259390862,8.20020450137016
85,2559.73617307601,-1311.7258181168,63,2416.57663361394,-1032.00390421296,-143.159539462075,279.721913903837,314.227629047828
86,-1615.3294739797,-953.276065928573,656,-1609.93339688691,-954.504780443694,5.39607709278243,-1.2287145151206,5.53420160013343
87,5698.04278456281,57.9780946328174,428,5695.07660284553,62.1689098923462,-2.96618171727914,4.19081525952879,5.13431266280311
88,-145.294850573473,130.314071384191,734,-143.764788689143,128.186681992087,1.53006188433028,-2.12738939210453,2.62047228482181
89,-4509.25756333994,-3157.47358126014,226,-4514.71536927561,-3162.3687064925,-5.45780593566633,-4.89512523235544,7.33143210238201
90,-4030.11347714895,-377.848999144007,110,-4049.14655907655,-371.826183215534,-19.0330819275982,6.02281592847334,19.9632792739805
91,3943.8214879574,449.283139003829,230,3953.35555457926,450.812663905616,9.53406662185898,1.52952490178779,9.65597601360083
92,-3092.4935993623,2353.40765340678,368,-3077.25014025163,2348.68009487737,15.2434591106658,-4.72755852941464,15.9597260411192
93,6236.20377182092,-518.411505208758,132,6229.53352306173,-513.046808750634,-6.67024875919287,5.36469645812451,8.55991744103457
94,2405.20938526607,-5328.13845395441,42,2394.18799785837,-5327.75163136407,-11.0213874076976,0.386822590337033,11.0281735616987
95,-3876.12142964309,-196.859808886449,717,-3875.77814886679,-205.346584007484,0.34328077629516,-8.48677512103507,8.49371494967859
96,-259.738547603921,2695.71259849362,459,-253.985764716543,2698.86132079774,5.75278288737798,3.14872230411402,6.55812191848657
97,985.558498439864,-2100.75383600695,721,991.166823842967,-2099.76960947837,5.60832540310344,0.984226528580621,5.69403334084524
98,3225.53920245883,-5837.46020495661,194,3218.54904772995,-5830.63483448907,-6.99015472888505,6.82537046753623,9.76974642213756
99,4306.22009171721,-490.794533373793,83,4315.01813216916,-491.232240578544,8.79804045194942,-0.437707204751064,8.80892180639772
100,3402.27270564611,-3416.1148866653,234,3395.93593102404,-3411.51403772109,-6.33677462207015,4.60084894420925,7.83086991453336
101,953.778060923627,-4435.66611962324,757,958.444971584828,-4439.09501214318,4.66691066120109,-3.42889251994347,5.79114488101935
102,1230.71279308458,1399.42885529079,202,1237.44181715418,1398.02417664107,6.72902406959292,-1.40467864972152,6.87407354035032
103,-2105.4296422391,727.769508809349,553,-2105.35372142672,720.050360555877,0.0759208123818098,-7.71914825347278,7.71952159973949
104,6045.94455249342,-2517.11878512538,748,6041.23935568153,-2511.95013441416,-4.70519681189398,5.16865071122493,6.98955128840924
105,756.952539914721,-6968.18226379027,53,755.225047034317,-6970.15898768898,-1.72749288040393,-1.97672389870877,2.6251988541009
106,4519.61872952461,-2771.46949499938,103,4514.79365121882,-2764.53987114361,-4.8250783057947,6.92962385576357,8.44399594027722
107,-3849.85233056251,-4959.20252764803,68,-3852.81544552775,-4981.01481094455,-2.9631149652455,-21.8122832965255,22.012627124111
108,1439.58549635938,3480.59182403939,335,1387.27345644142,3603.59183235596,-52.3120399179652,123.000008316571,133.662079761821
109,5690.03936904375,-370.870848906772,166,5692.20626492813,-366.085507380774,2.16689588437748,4.78534152599798,5.25308778664251
110,-3148.04501076874,-5028.00372433648,307,-3158.19366952175,-5036.12529895825,-10.1486587530148,-8.12157462176947,12.9982786868921
111,2328.04704255151,3897.54702811874,112,2339.65157742815,3902.1069757635,11.6045348766343,4.5599476447569,12.4682938779107
112,-2758.5213957664,1665.95753572189,262,-2743.71687425206,1671.28034637566,14.8045215143366,5.32281065376992,15.7323288334671
113,-675.326877501618,362.154276432224,14,-673.055100654043,357.813715382506,2.27177684757555,-4.34056104971717,4.89912648045568
114,2963.49480806835,-5311.11811772919,392,2955.62609449793,-5302.49265769113,-7.86871357042628,8.62546003805346,11.6754106617912
115,-953.076697395414,2253.1194219454,227,-947.459405555583,2249.94047051949,5.61729183983164,-3.17895142590942,6.4544325685633
116,4977.68182180797,-4512.06375596875,718,4970.02924491533,-4505.11278424292,-7.65257689263944,6.950971725827,10.3381788062988
117,-1370.9430128887,1222.90244798057,69,-1361.93620082527,1239.58152360168,9.00681206343143,16.6790756211108,18.955585644361
118,488.890202862009,-7257.04374058966,225,498.042769637057,-7100.47232913804,9.15256677504823,156.571411451613,156.838695360941
119,-4449.65049172711,-1191.72401757821,161,-4448.69759717586,-1203.65011167229,0.952894551241116,-11.9260940940883,11.9641016531469
120,3598.17567408126,543.711446431273,474,3606.04466657627,552.996693764346,7.86899249500766,9.28524733307347,12.1711487100781
