"particle_id","x_um","y_um","area_um2","major_um","minor_um","feret_min_um","feret_max_um","material","quality","source_file","diameter_um","aspect_ratio"
"A147",NA,NA,975,46,28,28,46,"Polyamide (naturally occurring)",0.937900148445519,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",35.2336281997296,0.620689730477352
"A148",NA,NA,962.5,43,31,31,43,"Polyamide (naturally occurring)",0.899673539667777,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",35.0070430314757,1.38709687839314
"A149",NA,NA,962.5,40,30,30,40,"Polyamide (naturally occurring)",0.941494671029114,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",35.0070430314757,1.33333333333333
"A150",NA,NA,962.5,35,35,35,35,"Cellulosic",0.911131013108027,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",35.0070430314757,1
"A151",NA,NA,950,57,21,21,57,"Cellulosic",0.970433624467308,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",34.7789816915102,0.375000021073426
"A152",NA,NA,937.5,35,30,30,35,"Rubber",0.772333042386798,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",34.5494149471335,1.16666666666667
"A153",NA,NA,925,40,30,30,40,"Polyamide (naturally occurring)",0.878134211710042,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",34.3183125878885,0.75
"A154",NA,NA,925,35,32,32,35,"Polytetrafluoroethylene",0.659396083088727,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",34.3183125878885,1.11111124431598
"A155",NA,NA,912.5,39,32,32,39,"Polyamide (naturally occurring)",0.924571891780872,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",34.0856433791536,1.22222233877648
"A156",NA,NA,900,36,34,34,36,"Cellulosic",0.839816627593298,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",33.8513750128654,1.06666668088321
"A157",NA,NA,887.5,40,30,30,40,"Polyamide (naturally occurring)",0.947236752252524,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",33.6154740551499,1.33333333333333
"A158",NA,NA,887.5,56,32,32,56,"Cellulosic",0.939837039840846,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",33.6154740551499,0.577235796726732
