"particle_id","x_um","y_um","area_um2","major_um","minor_um","feret_min_um","feret_max_um","material","quality","source_file"
"508",1307.93439397942,1954.37817851027,635.874,37.134,23.522,23.522,36.778,"Polyacrylamide/acrylate",91.05,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"758",4740.85854316606,5552.63379173801,454.125,32.966,19.764,19.764,32.722,"Polyacrylamide/acrylate",91.04,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"367",7696.73253048412,6228.3113374893,1460.911,49.795,39.778,39.778,53.988,"Polyacrylamide/acrylate",91.04,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"44",5421.12862958515,5390.1726656143,1487.605,60.13,36.538,36.538,60.077,"Cellulose Acetate Butyrate (CAB)",91.04,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"554",2206.92422970288,225.286617080479,13331.267,175.542,110.84,109.476,181.979,"Polyethylene terephtalate (PET)",91.03,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"337",1421.0257079242,1287.88571409461,815.316,45.664,24.85,24.843,47.238,"Cellulose Acetate Butyrate (CAB)",91,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"689",3072.04407800125,-868.312129441353,1900.371,54.85,49.364,49.364,57.002,"Cellulose Acetate Butyrate (CAB)",91,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"561",2472.1434532688,-797.127749090326,32605.538,573.006,160.833,160.833,571.113,"Polyethylene terephtalate (PET)",90.96,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"637",8384.4654954884,5743.79829703553,691.898,35.764,27.184,25.833,38.463,"Cellulose Acetate Butyrate (CAB)",90.96,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"374",871.068962954167,2076.65457379067,4816.92,104.748,66.824,66.824,106.191,"Polyethylene terephtalate (PET)",90.93,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"552",9584.2667449533,4653.06988843108,3575.492,77.04,61.54,61.54,77.221,"Polyethylene terephtalate (PET)",90.88,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"517",9928.70729503891,4724.25426878211,971.194,45.716,37.492,36.88,48.796,"Polyacrylamide/acrylate",90.87,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"284",8049.78409432188,4095.07619729238,603.083,29.84,27.856,25.67,33.87,"Polyamide (PA)",90.86,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"38",5289.09308538567,3430.30593562714,802.463,33.579,31.369,31.365,35.036,"Cellulose Acetate Butyrate (CAB)",90.8,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"417",9904.02238894944,2057.13627595248,733.751,32.132,30.135,26.463,37.929,"Polyacrylamide/acrylate",90.78,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"192",2168.46170160999,5172.60105147688,1356.278,45.262,38.657,38.001,47.575,"Polyethylene terephtalate (PET)",90.75,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"21",9285.75160154576,1576.06764099957,3950.524,84.124,66.733,65.01,87.716,"Polyethylene terephtalate (PET)",90.7,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"779",10541.2374066078,-986.570051637415,685.636,32.722,28.129,27.707,35.707,"Polyacrylamide/acrylate",90.69,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"74",2283.27521830519,-1146.16083984375,1297.452,50.212,32.537,32.512,50.212,"Polyethylene terephtalate (PET)",90.68,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"775",3984.23746814466,3526.74928965111,688.932,35.21,25.263,25.263,37.483,"Cellulose Acetate Butyrate (CAB)",90.68,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"784",5281.63020680048,5.99280019263733,4324.237,82.639,77.563,77.483,91.996,"Cellulose Acetate Butyrate (CAB)",90.65,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"10",9153.1419897628,784.42844338613,30271.969,274.763,170.819,170.819,276.242,"Polyethylene terephtalate (PET)",90.65,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"618",11586.6144761177,1813.15755297517,1671.661,59.703,39.611,39.586,60.23,"Cellulose Acetate Butyrate (CAB)",90.59,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"279",3679.98164890236,-2344.81395414169,658.613,35.898,27.412,27.386,37.888,"Cellulose Acetate Butyrate (CAB)",90.52,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"543",5911.95641345715,-1697.26571998074,595.998,28.703,27.555,24.471,34.073,"Polyacrylamide/acrylate",90.52,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"406",9201.93773435826,1220.71980682791,1088.186,41.81,33.692,33.692,43.388,"Cellulose Acetate Butyrate (CAB)",90.49,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"506",3980.7930626438,1697.19590111301,136970.052,656.575,292.589,292.589,656.253,"Polyethylene terephtalate (PET)",90.42,"Comparstic Raman F2Ba Au IAEA 240930.csv"
