"match_id","material_a_raw","material_b_raw","material_a_norm","material_b_norm","family_a","family_b","category_a","category_b","tier","agree_exact","match_distance","ftir_material_raw","raman_material_raw","ftir_material_norm","raman_material_norm"
44,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE","Protein","Acrylate","Natural/Organic","Semi-synthetic","Disagree",FALSE,19.7680793564182,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE"
45,"Protein","Polyamide (PA)","PROTEIN","PA","Protein","PA","Natural/Organic","Synthetic","Disagree",FALSE,12.416297395557,"Protein","Polyamide (PA)","PROTEIN","PA"
49,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,9.01749518336668,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
50,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,10.397882064139,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
55,"Protein","Polyethylene terephtalate (PET)","PROTEIN","PET","Protein","PET","Natural/Organic","Synthetic","Disagree",FALSE,56.8450616028922,"Protein","Polyethylene terephtalate (PET)","PROTEIN","PET"
56,"PET","Polyethylene terephtalate (PET)","PET","PET","PET","PET","Synthetic","Synthetic","Family",TRUE,8.02226957321067,"PET","Polyethylene terephtalate (PET)","PET","PET"
59,"Cellulose","Polyamide (PA)","CELLULOSE","PA","Cellulose","PA","Semi-synthetic","Synthetic","Disagree",FALSE,4.58708044998465,"Cellulose","Polyamide (PA)","CELLULOSE","PA"
60,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,21.6037706251205,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
61,"Cellulose","Polyamide (PA)","CELLULOSE","PA","Cellulose","PA","Semi-synthetic","Synthetic","Disagree",FALSE,18.9437816487902,"Cellulose","Polyamide (PA)","CELLULOSE","PA"
63,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE","Protein","Acrylate","Natural/Organic","Semi-synthetic","Disagree",FALSE,9.5490607234982,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE"
65,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE","Protein","Acrylate","Natural/Organic","Semi-synthetic","Disagree",FALSE,38.1778803948098,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE"
68,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,19.6765307342219,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
69,"Cellulose","Polyamide (PA)","CELLULOSE","PA","Cellulose","PA","Semi-synthetic","Synthetic","Disagree",FALSE,34.6968877028427,"Cellulose","Polyamide (PA)","CELLULOSE","PA"
70,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB","Protein","Cellulose","Natural/Organic","Semi-synthetic","Disagree",FALSE,10.6243057995469,"Protein","Cellulose Acetate Butyrate (CAB)","PROTEIN","CAB"
72,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE","Protein","Acrylate","Natural/Organic","Semi-synthetic","Disagree",FALSE,12.7433947953535,"Protein","Polyacrylamide/acrylate","PROTEIN","POLYACRYLAMIDE/ACRYLATE"
