"particle_id","x_um","y_um","area_um2","major_um","minor_um","feret_min_um","feret_max_um","material","quality","source_file","x_norm","y_norm"
"157",3450.35461551195,695.447967947346,519.047,26.629,23.869,23.669,29.227,"Polyamide (PA)",88.27,"Comparstic Raman F2Ba Au IAEA 240930.csv",-2609.87627891227,-1142.86809687366
"212",11045.8428124833,-224.20830078125,360.861,24.111,20.092,20.086,24.922,"Polyacrylamide/acrylate",88.07,"Comparstic Raman F2Ba Au IAEA 240930.csv",4985.61191805908,-2062.52436560226
"376",2269.49759630177,-405.613657159674,398.266,28.391,22.809,21.492,30.551,"Cellulose Acetate Butyrate (CAB)",87.79,"Comparstic Raman F2Ba Au IAEA 240930.csv",-3790.73329812245,-2243.92972198068
"719",1020.90060224141,105.880559717466,664.38,35.172,24.389,24.389,35.187,"Polyamide (PA)",87.21,"Comparstic Raman F2Ba Au IAEA 240930.csv",-5039.33029218281,-1732.43550510354
"393",6567.54159378678,3980.26268059717,17641.663,383.809,72.727,72.727,381.657,"Polyamide (PA)",87.1,"Comparstic Raman F2Ba Au IAEA 240930.csv",507.310699362562,2141.94661577616
"333",5759.82850383601,1295.34859267979,504.711,32.722,21.241,21.111,32.858,"Cellulose Acetate Butyrate (CAB)",86.98,"Comparstic Raman F2Ba Au IAEA 240930.csv",-300.402390588208,-542.967472141218
"656",1505.41364269518,190.842562071918,641.97,36.514,22.086,22.086,38.567,"Cellulose Acetate Butyrate (CAB)",86.94,"Comparstic Raman F2Ba Au IAEA 240930.csv",-4554.81725172904,-1647.47350274909
"473",1461.21043876752,2865.99750107021,332.849,20.702,20.702,19.837,22.138,"Polyethylene terephtalate (PET)",86.82,"Comparstic Raman F2Ba Au IAEA 240930.csv",-4599.0204556567,1027.6814362492
"277",5972.23350972214,562.264288580907,347.679,31.236,18.191,17.335,32.88,"Cellulose Acetate Butyrate (CAB)",86.72,"Comparstic Raman F2Ba Au IAEA 240930.csv",-87.9973847020774,-1276.0517762401
"488",8375.85448173626,2813.18328339041,4904.581,94.228,71.388,69.839,97.017,"Polyethylene terephtalate (PET)",86.6,"Comparstic Raman F2Ba Au IAEA 240930.csv",2315.62358731204,974.867218569402
"591",1737.33694641949,1848.74974315068,905.778,39.537,32.605,32.605,40.82,"Cellulose Acetate Butyrate (CAB)",86.37,"Comparstic Raman F2Ba Au IAEA 240930.csv",-4322.89394800473,10.4336783296717
"266",1234.45374329449,-2327.01785905394,635.709,34.91,28.009,26.914,37.215,"Cellulose Acetate Butyrate (CAB)",86.25,"Comparstic Raman F2Ba Au IAEA 240930.csv",-4825.77715112973,-4165.33392387495
"384",6917.14875212368,4013.55860043878,696.347,35.018,27.555,27.278,36.456,"Cellulose Acetate Butyrate (CAB)",86.2,"Comparstic Raman F2Ba Au IAEA 240930.csv",856.917857699463,2175.24253561777
"676",6258.1191662932,-835.590277183219,314.394,20.301,20.301,19.566,21.815,"Polyamide (PA)",85.53,"Comparstic Raman F2Ba Au IAEA 240930.csv",197.888271868982,-2673.90634200423
"625",2546.77223912069,3713.8953218643,711.836,32.564,27.373,26.791,34.222,"Polyacrylamide/acrylate",85.48,"Comparstic Raman F2Ba Au IAEA 240930.csv",-3513.45865530353,1875.57925704329
"217",1143.1769975218,633.448668931935,518.223,31.691,21.781,21.781,31.574,"Polyethylene terephtalate (PET)",85.41,"Comparstic Raman F2Ba Au IAEA 240930.csv",-4917.05389690242,-1204.86739588907
"433",6610.022594964,2897.57121816139,1523.691,54.425,41.245,40.287,56.424,"Polyamide (PA)",85.39,"Comparstic Raman F2Ba Au IAEA 240930.csv",549.791700539782,1059.25515334038
"259",2307.96012439466,1363.08856752997,792.247,39.433,26.697,26.697,39.375,"Polyamide (PA)",85.17,"Comparstic Raman F2Ba Au IAEA 240930.csv",-3752.27077002956,-475.227497291038
"725",9922.96661920415,-1917.70767203553,539.809,31.522,21.99,21.99,32.88,"Cellulose Acetate Butyrate (CAB)",85.09,"Comparstic Raman F2Ba Au IAEA 240930.csv",3862.73572477993,-3756.02373685654
"169",7127.2574876759,2333.83685118793,401.891,23.537,22.389,22.389,23.755,"Polyamide (PA)",84.41,"Comparstic Raman F2Ba Au IAEA 240930.csv",1067.02659325168,495.520786366922
"661",842.365583780365,-836.164344766696,1948.98,82.778,37.283,37.283,83.369,"Polyamide (PA)",84.24,"Comparstic Raman F2Ba Au IAEA 240930.csv",-5217.86531064385,-2674.4804095877
"619",4409.62154750039,4576.14483224529,3068.473,68.439,65.633,62.199,74.413,"Polyamide (PA)",84.19,"Comparstic Raman F2Ba Au IAEA 240930.csv",-1650.60934692383,2737.82876742428
"622",5275.88953096572,4596.23719766695,402.055,24.68,22.164,22.164,25.316,"Cellulose Acetate Butyrate (CAB)",83.4,"Comparstic Raman F2Ba Au IAEA 240930.csv",-784.341363458498,2757.92113284594
"499",5866.60507436255,-1646.74777263485,364.486,23.401,23.139,20.53,27.23,"Cellulose Acetate Butyrate (CAB)",82.9,"Comparstic Raman F2Ba Au IAEA 240930.csv",-193.625820061668,-3485.06383745586
"535",9387.36156382102,2786.77617455051,1105.158,55.622,26.021,26.021,55.454,"Polyamide (PA)",82.58,"Comparstic Raman F2Ba Au IAEA 240930.csv",3327.1306693968,948.460109729502
"555",5941.23386021443,-1712.76554473459,678.88,32.148,28.129,28.129,33.632,"Cellulose Acetate Butyrate (CAB)",82.54,"Comparstic Raman F2Ba Au IAEA 240930.csv",-118.997034209788,-3551.0816095556
"691",7495.23480868404,-2911.99272661601,506.524,26.867,24.326,24.326,27.344,"Polyacrylamide/acrylate",82.28,"Comparstic Raman F2Ba Au IAEA 240930.csv",1435.00391425982,-4750.30879143702
"495",7076.73954033001,5984.90668209546,1391.046,44.713,40.432,40.411,45.925,"Cellulose Acetate Butyrate (CAB)",81.85,"Comparstic Raman F2Ba Au IAEA 240930.csv",1016.50864590579,4146.59061727445
"467",1466.37704701881,4807.49406838613,1417.41,47.744,39.212,38.897,49.131,"Polyamide (PA)",81.46,"Comparstic Raman F2Ba Au IAEA 240930.csv",-4593.85384740541,2969.17800356512
"788",4856.82019502822,2510.64966689854,1124.931,44.154,31.431,31.406,46.047,"Polyacrylamide/acrylate",81.33,"Comparstic Raman F2Ba Au IAEA 240930.csv",-1203.410699396,672.333602077532
