"particle_id","centroid_y","centroid_x","tile_row","tile_col","local_y","local_x","area_px","max_intensity","mean_intensity","integrated_intensity","bbox_width","bbox_height","equivalent_diameter","aspect_ratio","x_um","y_um","feret_max_um","feret_min_um","area_um2","centroid_px_x","centroid_px_y","coord_source"
52,736,1849.58,0,1,736,599.58,19,87.04,80.78,1534.84,6,6,4.92,1,-1691.092,4586.4,15.6,15.6,128.44,1849.58,736,"circle_calibrated"
53,741.04,2008.42,0,1,741.04,758.42,57,93.36,83.92,4783.56,9,9,8.52,1,-1278.108,4573.296,23.4,23.4,385.32,2008.42,741.04,"circle_calibrated"
54,757.58,1736.33,0,1,757.58,486.33,684,190.26,126.68,86649.75,67,31,29.51,2.16,-1985.542,4530.292,174.2,80.6,4623.84,1736.33,757.58,"circle_calibrated"
55,748.74,1835.55,0,1,748.74,585.55,65,129.47,103.06,6699.1,8,10,9.1,1.25,-1727.57,4553.276,26,20.8,439.4,1835.55,748.74,"circle_calibrated"
56,755,2774.86,0,2,755,274.86,69,104.97,85.41,5893.51,9,13,9.37,1.44,714.636,4537,33.8,23.4,466.44,2774.86,755,"circle_calibrated"
57,768,1679.14,0,1,768,429.14,44,145.13,106.84,4701.02,8,7,7.48,1.14,-2134.236,4503.2,20.8,18.2,297.44,1679.14,768,"circle_calibrated"
58,795.49,1867.96,0,1,795.49,617.96,276,216.36,165.69,45730.01,19,18,18.75,1.06,-1643.304,4431.726,49.4,46.8,1865.76,1867.96,795.49,"circle_calibrated"
59,801.01,3336.8,0,2,801.01,836.8,70,160.05,122.37,8565.74,8,11,9.44,1.38,2175.68,4417.374,28.6,20.8,473.2,3336.8,801.01,"circle_calibrated"
60,804.4,2170.43,0,1,804.4,920.43,35,96.84,84.72,2965.28,5,11,6.68,2.2,-856.882,4408.56,28.6,13,236.6,2170.43,804.4,"circle_calibrated"
61,804.18,3367.29,0,2,804.18,867.29,17,82.74,79.74,1355.54,6,5,4.65,1.2,2254.954,4409.132,15.6,13,114.92,3367.29,804.18,"circle_calibrated"
62,814.23,3188.32,0,2,814.23,688.32,60,102.31,86.45,5187.06,11,8,8.74,1.38,1789.632,4383.002,28.6,20.8,405.6,3188.32,814.23,"circle_calibrated"
