"particle_id","x_um","y_um","area_um2","major_um","minor_um","feret_min_um","feret_max_um","material","quality","source_file","diameter_um","aspect_ratio","coord_match_cost","coord_source"
"A79",-2555.41,1808.482,1837.5,56,42,42,56,"Polyamide (naturally occurring)",0.914585244700799,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",48.369180925987,1.31578952684855,1.02297142606545,"circle_calibrated"
"A80",-2536.274,2584.01,1825,106,31,31,106,"Cellulosic",0.900970428432625,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",48.2043791490117,3.35483855329695,0.209673771929313,"circle_calibrated"
"A81",889.798,-4569.578,1812.5,60,42,42,60,"Polyamide (naturally occurring)",0.927072222024821,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",48.0390120093293,1.4166666853986,0.0247644435456169,"circle_calibrated"
"A82",-3983.304,-2799.446,1775,50,45,45,50,"Polyamide (naturally occurring)",0.804518698923528,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",47.5394593143939,1.11111111111111,0.716756698110106,"circle_calibrated"
"A83",-2042.43,-4746.716,1750,50,40,40,50,"Polyethylene terephthalate",0.941419101723752,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",47.2034871941315,0.8,0.33663779376662,"circle_calibrated"
"A84",2856.308,1311.596,1712.5,63,38,38,63,"Chitin",0.884059143024926,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",46.6949967379693,1.6470589858636,2.06518276883839,"circle_calibrated"
"A85",-94.8480000000001,2003.326,1700,60,39,39,60,"Polycarbonate",0.887871498426707,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",46.5242649168128,1.54545453430827,0.0525665386906806,"circle_calibrated"
"A86",-446.862,-2522.936,1637.5,53,42,42,53,"Carbonate",0.860705010415341,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",45.6610310276042,1.2500000561958,0.0922554034797627,"circle_calibrated"
"A87",-1606.046,5391.36,1625,55,40,40,55,"Polyamide (naturally occurring)",0.925915615362264,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",45.4864184146723,1.40000012063134,0.116657391682125,"circle_calibrated"
"A88",-1633.58,-939.77,1612.5,63,35,35,63,"Polyamide (naturally occurring)",0.956803703803018,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",45.3111329132858,0.549999988690813,2.05831711490506,"circle_calibrated"
"A89",1966.276,-5638.958,1487.5,60,35,35,60,"Polyamide (naturally occurring)",0.931131812857365,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",43.5194648725551,0.583333333333333,0.109456881881882,"circle_calibrated"
"A90",-1049.256,-5144.048,1475,65,31,31,65,"Polyamide (naturally occurring)",0.940899868441385,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",43.3362242065961,0.471428559899464,0.0721843996772593,"circle_calibrated"
"A91",-2014.714,3487.484,1475,68,36,36,68,"Polycarbonate",0.869741025025116,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",43.3362242065961,0.523364520461789,0.157231622928055,"circle_calibrated"
"A92",-4016.376,-4152.018,1475,50,45,45,50,"Polyamide (naturally occurring)",0.939254523355852,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",43.3362242065961,0.9,0.108222940598193,"circle_calibrated"
"A93",-986.284,5979.402,1475,63,36,36,63,"Polyamide (naturally occurring)",0.934617438466672,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",43.3362242065961,1.76923072301354,0.0584023850377724,"circle_calibrated"
"A94",4257.76,1870.856,1462.5,49,42,42,49,"Rubber",0.769118095199971,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",43.1522054381369,0.857142884667332,0.0671294433792824,"circle_calibrated"
"A95",-1246.674,-4978.792,1462.5,45,40,40,45,"Cellulosic",0.936736016673243,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",43.1522054381369,0.888888888888889,0.228775044461935,"circle_calibrated"
"A96",-4411.862,-1086.072,1425,60,32,32,60,"Cellulosic",0.949829707431432,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",42.5953794588991,1.88888877233464,0.0469233657764718,"circle_calibrated"
"A97",773.656,304.771999999999,1425,57,35,35,57,"Rubber",0.731294542350706,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",42.5953794588991,1.5999998381561,0.226323982236288,"circle_calibrated"
"A98",4802.408,2764.008,1425,53,35,35,53,"Polyamide (naturally occurring)",0.970435445372751,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",42.5953794588991,0.666666666666667,0.1619312688674,"circle_calibrated"
"A99",-999.414,3888.274,1412.5,55,34,34,55,"Polyamide (naturally occurring)",0.94536476687416,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",42.408146115321,0.618181835521351,0.180957250283015,"circle_calibrated"
"A100",2177.656,2934.412,1412.5,49,43,43,49,"Polyamide (naturally occurring)",0.88344206265084,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",42.408146115321,1.12903230457938,0.387001035973799,"circle_calibrated"
"A101",3303.508,290.654,1400,45,40,40,45,"Polyamide (naturally occurring)",0.92007180937491,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",42.2200824564475,0.888888888888889,0.279578442864844,"circle_calibrated"
"A102",-3020.472,539.916,1387.5,45,40,40,45,"Polyamide (naturally occurring)",0.896877786873762,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",42.0311773368298,1.125,0.0449377752145146,"circle_calibrated"
"A103",-2263.794,-3068.52,1375,65,41,41,65,"Polyamide (naturally occurring)",0.805443938699752,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",41.84141935942,0.627906964891254,0.297698440816278,"circle_calibrated"
"A104",1180.712,5790.668,1350,60,30,30,60,"Polyamide (naturally occurring)",0.878473654949501,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",41.4592979365603,2,2.057418336628,"circle_calibrated"
"A105",6048.874,99.45,1312.5,49,36,36,49,"Polyamide (naturally occurring)",0.957740705779612,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",40.8794190573313,0.727272652371551,0.475328846631458,"circle_calibrated"
"A106",1469.546,4139.304,1312.5,40,40,40,40,"Polyamide (naturally occurring)",0.914073981047385,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",40.8794190573313,1,0.410546665708097,"circle_calibrated"
"A107",3912.48,-4908.904,1300,60,33,33,60,"Polyamide (naturally occurring)",0.94860957659758,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",40.6842894512822,1.82258054568935,0.0567594169507166,"circle_calibrated"
"A108",-5276.96,748.098,1300,103,23,23,103,"Cellulosic",0.872267480562829,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",40.6842894512822,4.51923051991095,0.211561183284515,"circle_calibrated"
"A109",-1141.374,5386.42,1287.5,46,35,35,46,"Polyamide (naturally occurring)",0.91345423626879,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",40.4882194452476,0.769230817113582,0.12772948968308,"circle_calibrated"
"A110",3980.912,-4147.988,1275,40,40,40,40,"Polyamide (naturally occurring)",0.911695689243465,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",40.291195310357,1,2.10704697293709,"circle_calibrated"
"A111",-5736.406,1707.004,1262.5,42,39,39,42,"Carbonate",0.874503002090825,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",40.0932029804073,0.9166666853986,0.0416541457125077,"circle_calibrated"
"A112",-3274.518,-3784.222,1250,62,28,28,62,"Cellulosic",0.916479030282102,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",39.8942280401433,2.25000012894456,0.270868671059677,"circle_calibrated"
"A113",-1880.138,-1516.008,1250,58,29,29,58,"Polyamide (naturally occurring)",0.914672228900686,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",39.8942280401433,0.499999958990759,0.108826683905052,"circle_calibrated"
"A114",4234.464,2475.538,1237.5,74,27,27,74,"Cellulosic",0.885332988884678,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",39.6942557130092,2.77419330535399,0.07979587395605,"circle_calibrated"
"A115",-3926.338,-1833.364,1225,49,34,34,49,"Polyamide (naturally occurring)",0.932774540992415,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",39.4932708483429,1.46666673301051,0.109557430934781,"circle_calibrated"
