Identifier,Coord. [pixels],Coord. [µm],Max AAU score,Spectrum yielding score,Group,Group ID,No. of pixels [-],Area on map [µm²],Major dim [µm],Minor dim [µm],Feret min [µm],Volume [µm³],Mass [ng]
MP_-1,[78;380],[1950;9500],0.886,Cellulose6,Cellulose,26,5,3125.0,80.9,49.2,50.0,61476.977,61.47698
MP_-1,[79;102],[1975;2550],0.693,Cellulose7,Cellulose,26,26,16250.0,200.9,103.0,175.0,669456.188,669.45619
MP_-1,[79;288],[1975;7200],0.947,Protein4,Protein,25,10,6250.0,115.1,69.1,75.0,172785.984,172.78598
MP_-1,[79;390],[1975;9750],0.796,Protein4,Protein,25,5,3125.0,80.9,49.2,50.0,61476.977,61.47698
MP_-1,[80;194],[2000;4850],0.898,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[80;383],[2000;9575],0.796,Protein4,Protein,25,5,3125.0,80.9,49.2,55.0,61476.977,61.47698
MP_-1,[82;410],[2050;10250],0.799,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[82;212],[2050;5300],0.750,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[85;281],[2125;7025],0.769,Protein4,Protein,25,4,2500.0,75.0,42.4,55.0,42441.320,42.44132
MP_-1,[86;360],[2150;9000],0.674,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[87;391],[2175;9775],0.670,Protein4,Protein,25,3,1875.0,60.4,39.6,30.0,29665.861,29.66586
MP_-1,[89;308],[2225;7700],0.773,Cellulose6,Cellulose,26,5,3125.0,80.9,49.2,75.0,61476.977,61.47698
MP_-1,[90;113],[2250;2825],0.858,Protein4,Protein,25,7,4375.0,95.7,58.2,75.0,101851.133,101.85113
MP_-1,[89;194],[2225;4850],0.722,Protein4,Protein,25,5,3125.0,80.9,49.2,50.0,61476.977,61.47698
MP_-1,[88;400],[2200;10000],0.788,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[90;315],[2250;7875],0.813,Cellulose6,Cellulose,26,7,4375.0,95.7,58.2,75.0,101851.133,101.85113
MP_-1,[92;182],[2300;4550],0.720,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[92;383],[2300;9575],0.677,Protein4,Protein,25,2,1250.0,50.0,31.8,30.0,15915.494,15.91549
MP_-1,[94;90],[2350;2250],0.863,Protein4,Protein,25,6,3750.0,80.9,59.0,50.0,88526.844,88.52684
